Id,tweet,class
1.0,نو الاهبل ابن الاه,
2.0,ى المصريين وجمالهم ربنا يحميه,
3.0,ول كتير اوى ودمهم خفيف العمارة اللي انا فيها كلها سوريين والأطفال ع,
4.0,ا بعد كده خلى اللى يوعنى بحاجه همضى على وصل امانه علشان اضمن انو مش ,
5.0,ا ه,
6.0, حفظ الله يا ري,
7.0, عيون عطشان عطشانة سهر يا قلوب تعبانة تعبانة سفر كتروا من الحب تلاقوا تلاقوا في الضلمة ألف ق,
8.0,سامي اكونتات البنات على مواقع التواصل الاجتماعي زي مثلا شروق الشمس و الذهب الأزرق و أي بطيخ و السل,
9.0,مد الله ع السلام,
10.0,ح م,
11.0,ا تشوف حد واحشك كان بقالك كتير مشفت,
12.0,اء نازله الجنينة حياتى دعاء السباعي دعاء السباعى دعاء السبا,
13.0,حد دلوقتي بيقول انه فاهم مش عارفه ليه حاسه انه بيك,
14.0,نا مشروخ مشروخ يا ج,
15.0,يشتش بقالي أسبوع انه إنجا,
16.0,ايه البصه اللي ببصها لحد و انا مش طايق الحد د,
17.0,ساس ان فى حد تانى خد مكانك من وسط الناس اللى بتحبهم وهما سابوه يخدو عادى احساس وحش ا,
18.0,س انا كنت بحب المدرس بتاعها فلذلك ح,
19.0,مين غيرك في قلبي اكتبله مرسا,
20.0,ينة لباسه والبر شعاره والتقوى ضميره والحكمة مقوله والصدق والوفاء طبيعته والعفو والمعروف خلقه والعدل سيرته والحق شريعته والهدى ا,
21.0,بنا يشفيه ويقوم بالسلامه ويشفى كل مر,
22.0,يأسش من اللي فات واستبشر باللي جاي ربك كر,
23.0,ردد قنوات الجزيره مباشر مصر التركيه دا التردد ياشباب علي معدل ترميز مدار نايل سات مبروك يااحرار ش,
24.0,يم لاين مفرح بطريقة تفر,
25.0, كسم تضيع الر,
26.0,خصصين بنضيع ضربات جزاء ف كره القدم ورميات حره ف السله مر,
27.0,هل مكة ادرى بشع,
28.0,لة من الاكتئاب و البؤ,
29.0,انيه الفرق لينا ياا,
30.0,ا بلغك عن أخيك شيء تكرهه فالتمس له العذر جهدك فإن لم تجد له عذرا فقل لعل له عذرا لا أعلمه ربنا يسام,
31.0,ى الصقفة كلة يرقص على الصقفة كلة يرقص زماا,
32.0,ساس ان الدنيا تسود ادامك كره واحده وتلاقى هموم تقيله وقعت علىيك فجاه احساس وحش او,
33.0, يملك الأخلاق والأدب يسكن في القلوب إلى الأ,
34.0,س بيشتم م,
35.0,اة ال ف خيالي حلوة اوو,
36.0, تيأس إذا حرمك الله ما تحب ولا تحزن إذا انجبرت على التعايش مع وضع قد يؤلمك بل إبتسم لأن الله قال بكل رحمة وعسى أن تكرهوا شيئا وهو خير,
37.0,تقدة اوي فكرة ان يكون في حد قدي في الب,
38.0,ايات السعيده دائما تاتي في المش,
39.0,احوتك ياسيسي استقبال رائع لرئيس مصر الججيدة القو,
40.0,يح ان الغربة صعبة بس الوحدة جميلة تخلص من هموم الناس وتفضى لهومك تحله,
41.0,تد أنا عن حبك و إن أهدرتى دمى المباح فإن كان الإيمان فى قربك فالكفر بك فلا,
42.0,عبه لما تفتكر انك مهم عند حد وف الاخر تكتشف انك كنت غلطا,
43.0,اتيهم اخرج بي,
44.0,نا مضايق قوي بصوت فد,
45.0,ية لولتراس الحرية للمدرج الكورة للجمهور يا داخلية وس,
46.0, قالي في يوم يا حبيبتى خدي القمر ورحت معاه ومااداني إلا الس,
